X,Y,OBJECTID_1,OBJECTID,SCHID,NAME,ADDRESS,TOWN_MAIL,TOWN,STATE,ZIP,PRINCIPAL,PHONE,FAX,GRADES,TYPE
-71.1051431538356,42.3276757447836,85,163,5300,Roxbury Prep - Mission Hill,120 Fisher Avenue,Roxbury,BOSTON,MA,02120,Dana Lehman,617-566-2361,617-566-2373,"6,7,8",CHA
-71.0587171011184,42.301402641897,86,153,5470,Helen Davis Leadership Academy Charter Public School,23 Leonard Street,Boston,BOSTON,MA,02122,Karmala Sherwood,617-474-7950,617-474-7957,"6,7,8",CHA
-71.1301502114061,42.3065929936264,87,1100,00350950,British School of Boston,416-420 Pond Street,Jamaica Plain,BOSTON,MA,02130,Bruce Robinson,617-522-2261,617-522-0385,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",PRI
-71.0957393800161,42.3493464451882,88,206,05230001,EDCO Collaborative - EDCO YOUTH ALT,"650 Beacon St , 3rd Floor",Boston,BOSTON,MA,02215, ,617-262-9562,617-262-0098, ,COP
-71.1321319431371,42.2442704597649,89,134,5600,Academy Of the Pacific Rim Charter Public School,1 Westinghouse Plaza,Hyde Park,BOSTON,MA,02136,Jenne Colasacco,617-361-0050,617-361-0045,"5,6,7,8,9,10,11,12",CHA
-71.06087154979,42.3216397541606,90,136,5500,Boston Collegiate Charter School (Middle and High School),11 Mayhew Street,Dorchester,BOSTON,MA,02125,Tobey Jackson,617-265-1172,617-265-1176,"5,6,7,8,9,10,11,12",CHA
-71.1237383710506,42.2548070949764,91,137,5520,Boston Preparatory Charter Public School,1286 Hyde Park Avenue,Hyde Park,BOSTON,MA,02136,Amanda Colley,617-333-6688,617-333-6689,"6,7,8,9,10",CHA
-71.1268223537681,42.2503763350828,92,138,5400,Boston Renaissance Charter Public School,1415 Hyde Park Avenue,Hyde Park,BOSTON,MA,02136,Roger Harris,617-357-0900,617-338-2647,"K,1,2,3,4,5,6",CHA
-71.0719311839712,42.2894483238885,93,143,5440,Codman Academy Charter Public School,637 Washington Street,Dorchester,BOSTON,MA,02124,Thabiti Brown,617-287-0700,617-287-9064,"9,10,11,12",CHA
-71.1517613949508,42.3488596540877,94,144,5201,Conservatory Lab Charter School - Brighton,320 Washington Street,Brighton,BOSTON,MA,02135,Brad Kershner,617-208-6200,617-254-8909,"K,1,2",CHA
-71.1220041750056,42.2816985950471,95,149,5450,Edward Brooke Charter School - Roslindale,190 Cummins Highway,Roslindale,BOSTON,MA,02131,Jon Clark,617-325-7977,617-325-2260,"K,1,2,3,5,6,7,8",CHA
-71.0186708536048,42.3827929932681,96,151,5490,Excel Academy Charter School - East Boston,58 Moore St.,East Boston,BOSTON,MA,02128,Komal Bhasin,617-561-1371,617-561-1378,"5,6,7,8",CHA
-71.120984650171,42.3521580163491,97,157,5431,MATCH Charter Public High School,1001 Commonwealth Avenue,Boston,BOSTON,MA,02215,Jorge Miranda,617-232-0300,617-232-2838,"9,10,11,12",CHA
-71.0534719703338,42.2933442616075,98,159,5700,Neighborhood House Charter School,21 Queen Street,Dorchester,BOSTON,MA,02122,Kevin Andrews,617-825-0703,617-825-1829,"PK,K,1,2,3,4,5,6,7,8",CHA
-71.0688478275454,42.3411101846316,99,166,8027,Cathedral High,74 Union Park,Boston,BOSTON,MA,02118,Christol Murch,617-542-2325,617-542-1745,"9,10,11,12",PRI
-71.0720455110889,42.3583559671961,100,1521,00350702,The Advent School,15 Brimmer Street,Boston,BOSTON,MA,02108,Nicole A. DuFauchard,617-742-0520,--,"K,1,2,3,4,5,6",PRI
-71.0528619749265,42.3638872910443,101,186,8168,St John Elementary,9 Moon,Boston,BOSTON,MA,02113,Karen McLaughlin,617-227-3143,617-227-2188,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.0877149862655,42.282657210299,102,1128,00350705,Berea SDA Academy,800 Morton St.,Mattapan,BOSTON,MA,02126,Grafton Jones,617-436-8301,617-436-8304,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.0671743124305,42.2744406355489,103,178,8081,Pope John Paul II Academy (Lower MIlls),2214 Dorchester Avenue,Dorchester,BOSTON,MA,02124,George Milot,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.0922219845921,42.2707667712484,104,179,8064,Pope John Paul II Academy (Mattapan),120 Babson,Mattapan,BOSTON,MA,02126,Kathleen Aldridge,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.049521469542,42.2904477124688,105,180,8065,Pope John Paul II Academy (Neponset),239 Neponset Avenue,Dorchester,BOSTON,MA,02122,Kate Brandley,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.1438557890931,42.3523608174706,106,182,8103,Saint Joseph Preparatory High School,617 Cambridge,Brighton,BOSTON,MA,02135,Tom Nunan,617-254-8383,617-254-0240,"9,10,11,12",PRI
-71.0296638939288,42.3360527435619,107,183,8071,South Boston Catholic Academy,866 East Broadway,South Boston,BOSTON,MA,02127,Nancy Carr,617-268-2326,--,"PK,K,1,2,3,4,5",PRI
-71.0781027610105,42.3523311871537,110,1523,00350724,Commonwealth School,151 Commonwealth Avenue,Boston,BOSTON,MA,02116,William Wharton,617-266-7525,--,"9,10,11,12",PRI
-71.0772459241973,42.3535181347427,111,1524,00350765,The Learning Project,107 Marlborough Street,Boston,BOSTON,MA,02115,Michael Mccord,617-266-8427,--,"K,1,2,3,4,5,6",PRI
-71.0823998558762,42.3520897488999,112,1525,00350794,The Newman School,247 Marlborough Street,Boston,BOSTON,MA,02116,John Colahan,617-267-4530,617-267-7070,"9,10,11,12",PRI
-71.0400608378422,42.3715370829619,113,169,8034,E Boston Central Catholic,69 London,East Boston,BOSTON,MA,02128,Maryann Manfredonia,617-567-7456,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.1006949995779,42.3108650035994,114,1768,00350785,Neighborhood School,34 Peter Parley Rd,Jamaica Plain,BOSTON,MA,02130,Tricia Morrow,617-522-0880,--,"PK,K,1,2,3,4,5,6",PRI
-71.0577789005658,42.3277100074987,116,1770,00350882,St Mary Of Czestochowa,655 Dorchester Avenue,South Boston,BOSTON,MA,02127,Marie Laclaire,617-268-3766,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.0931216087457,42.3287756768998,117,1771,00350812,Paige Academy,28 Highland Avenue,Roxbury,BOSTON,MA,02119,Angela Cook,617-445-6969,--,"PK,K,1",PRI
-71.1017274115521,42.3215569095116,118,175,8588,Nativity Prep School,39 Lamartine Street,Jamaica Plain,BOSTON,MA,02130-0947,Dan Roy,857-728-0031,857-728-0037,"5,6,7,8",PRI
-71.1008905269313,42.333139238902,119,174,,Mission Grammar School,94 St Alphonsus,Roxbury,BOSTON,MA,02120,Aliece Dutson,617-442-2660,--,"K,1,2,3,4,5,6,7,8",PRI
-71.1222811714978,42.2783133667873,120,181,8060,Sacred Heart Elementary,1035 Canterbury,Roslindale,BOSTON,MA,02131,Monica Haldiman,617-323-2500,617-325-7151,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.152987455191,42.3524414583256,122,185,8077,St Columbkille Elem,25 Arlington Street,Brighton,BOSTON,MA,02135,Mary Battles,617-254-3110,617-254-3161,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.1657808245134,42.2777009297206,123,167,8028,Catholic Memorial,235 Baker Street,West Roxbury,BOSTON,MA,02132,Richard Chisholm,617-469-8000,617-325-0888,"7,8,9,10,11,12",PRI
-71.1570886106981,42.2761250788983,124,1851,00350808,Roxbury Latin School,101 St Theresa Avenue,West Roxbury,BOSTON,MA,02132,F Jarvis,617-325-4920,--,"7,8,9,10,11,12",PRI
-71.0843949443834,42.3074991516821,125,1883,00350778,Mother Caroline Academy,515 Blue Hill Avenue,Dorchester,BOSTON,MA,02121,Frances Butler,617-427-1177,617-427-7788,"5,6,7,8",PRI
-71.1120247348666,42.3082425759884,126,1885,00350740,Hollow Reed School,93 Sedgewick Street,Jamaica Plain,BOSTON,MA,02130,Khabria Brown,617-524-9004,--,"PK,K",PRI
-71.1266419115505,42.3023037044235,127,1886,00350749,Italian Home For Children,1125 Centre Street,Jamaica Plain,BOSTON,MA,02130,Jane A Zopatti,617-524-3116,617-983-5372,"1,2,3,4,5,6,7,8",SPE
-71.0709409683951,42.288342483377,128,1887,00350947,Parkside Christian Academy,670 Washington Street,Dorchester,BOSTON,MA,02124,John Mallory,617-522-1841,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.1219129634123,42.2572950834047,129,1888,00350795,New Beginnings Academy,20 Central Ave,Hyde Park,BOSTON,MA,02136,Cynthia Schroder,617-364-6767,617-364-3383,"PK,K,1,2,3,4,5,6,10,12",PRI
-71.0717160475815,42.3564041719103,132,2246,00350805,Park Street School,67 Brimmer Street,Boston,BOSTON,MA,02108,Tracy Bradley,617-523-7577,617-523-7576,"K,1,2,3,4,7",PRI
-71.1100498222946,42.3309788484368,133,2304,00350768,Manville School,53 Parker Hill Ave,Boston,BOSTON,MA,02120,Hanna Savransky,617-232-8390,617-232-8399,"1,2,3,4,5,6,7,8,9,10,11",SPE
-71.0539306211897,42.3123143477046,134,168,8024,Cristo Rey Boston High School,100 Savin Hill Avenue,Dorchester,BOSTON,MA,02125,Elizabeth Degnan,617-825-2580,617-825-2613,"9,10,11,12",PRI
-71.1542983336253,42.347884278361,135,1939,00350811,Shaloh House Jewish Day School,29 Chestnut Hill Avenue,Brighton,BOSTON,MA,02135,Don Rodkin,617-787-2200,617-787-4693,"PK,K,1,2,3,4",PRI
-71.1484526604041,42.2880696790603,136,172,8037,Holy Name Elementary,535 W Roxbury Pkwy,West Roxbury,BOSTON,MA,02132,Robert Arciero,617-325-9338,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.136979030027,42.2401422545044,137,1943,00350824,St Anne Elementary,20 Como Rd,Hyde Park,BOSTON,MA,02136,Jane Trumpis,617-361-3563,--,"K,1,2,3,4,5,6,7,8",PRI
-71.1579442421989,42.2783041089689,138,188,8096,St Theresa Elementary,40 St Theresa Avenue,West Roxbury,BOSTON,MA,02132,Virginia Kelleher,617-323-1050,617-323-8118,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.0512453223174,42.281918397584,140,184,8070,St Brendan Elementary,29 Rita Rd,Dorchester,BOSTON,MA,02124,Ida Ring,617-282-3388,--,"K,1,2,3,4,5,6,7,8",PRI
-71.0397001842611,42.3332242098661,142,2382,00350890,St Peter Academy,518 E Sixth Street,South Boston,BOSTON,MA,02127,David Romanosky,617-268-0750,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.0502743561652,42.3757045682385,143,2385,00350809,Seaport Campus School,197 Eighth Street,Charlestown,BOSTON,MA,02129,Alex Christos Tsonas,617-241-3871,617-241-7452,"8,9,10,11,12",SPE
-71.0661374605224,42.2925647179897,144,2389,00350729,Epiphany School,154 Centre Street,Dorchester,BOSTON,MA,02124,John Finley,617-326-0425,617-326-0424,"5,6,7,8",PRI
